pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,A,-0.4313,-1.0563,-6.8063,757,351
p0000,swap,A,-0.2294,-1.6044,-6.6044,757,273
p0001,orig,A,-0.6353,-0.7603,-6.8853,850,333
p0001,swap,A,-0.0920,-2.4670,-6.5920,850,321
p0002,orig,A,-0.4775,-0.9775,-6.7275,1097,440
p0002,swap,A,-0.0910,-2.4660,-6.5910,1097,426
p0003,orig,A,-0.0649,-3.0649,-4.1899,1515,622
p0003,swap,B,-1.4107,-0.2857,-6.0357,1515,604
p0004,orig,B,-0.8311,-0.5811,-5.9561,1294,523
p0004,swap,A,-0.0925,-2.5925,-4.4675,1294,512
p0005,orig,A,-0.4797,-0.9797,-5.6047,371,152
p0005,swap,A,-0.3544,-1.2294,-5.7294,371,140
p0006,orig,A,-0.3202,-1.3202,-5.6952,587,233
p0006,swap,A,-0.1365,-2.1365,-4.8865,587,221
p0007,orig,A,-0.4815,-0.9815,-6.1065,706,278
p0007,swap,A,-0.0958,-2.4708,-5.4708,706,265
p0008,orig,A,-0.0821,-2.5821,-6.2071,576,216
p0008,swap,B,-1.1402,-0.3902,-7.0152,576,204
p0009,orig,A,-0.0935,-2.4685,-5.9685,651,260
p0009,swap,B,-0.8327,-0.5827,-6.3327,651,247
p0010,orig,A,-0.5878,-0.8378,-4.8378,709,278
p0010,swap,A,-0.2833,-1.5333,-3.6583,709,268
p0011,orig,B,-1.9201,-0.1701,-5.4201,795,314
p0011,swap,A,-0.1089,-2.4839,-4.1089,795,307
p0012,orig,A,-0.3977,-1.1477,-4.8977,621,250
p0012,swap,A,-0.4915,-0.9915,-4.3665,621,242
p0013,orig,B,-0.9954,-0.4954,-4.3704,838,353
p0013,swap,A,-0.2187,-1.8437,-3.3437,838,349
p0014,orig,A,-0.3964,-1.1464,-5.3964,733,308
p0014,swap,A,-0.2359,-1.6109,-5.2359,733,301
p0015,orig,A,-0.3195,-1.3195,-5.4445,824,351
p0015,swap,A,-0.2387,-1.6137,-4.6137,824,343
p0016,orig,A,-0.1747,-1.9247,-4.4247,1284,592
p0016,swap,A,-0.5812,-0.8312,-5.9562,1284,588
p0017,orig,B,-0.9027,-0.5277,-5.7777,566,250
p0017,swap,A,-0.1827,-2.0577,-3.3077,566,237
p0018,orig,B,-0.9780,-0.4780,-6.1030,514,234
p0018,swap,A,-0.1715,-2.2965,-2.9215,514,222
p0019,orig,A,-0.1863,-1.8113,-5.3113,674,298
p0019,swap,A,-0.0333,-3.7833,-4.6583,674,289
p0020,orig,A,-0.0751,-2.8251,-4.4501,563,244
p0020,swap,A,-0.6377,-0.7627,-5.8877,563,233
p0021,orig,A,-0.1028,-2.7278,-3.4778,544,235
p0021,swap,B,-1.8094,-0.1844,-6.6844,544,224
p0022,orig,B,-1.1389,-0.3889,-7.0139,489,209
p0022,swap,A,-0.0515,-3.0515,-6.3015,489,199
p0023,orig,A,-0.1042,-2.3542,-5.9792,438,194
p0023,swap,A,-0.1477,-2.0227,-5.7727,438,182
p0024,orig,A,-0.1305,-2.1305,-6.1305,588,257
p0024,swap,A,-0.0509,-3.0509,-6.6759,588,248
p0025,orig,B,-1.1397,-0.3897,-6.8897,611,265
p0025,swap,A,-0.0120,-4.5120,-7.3870,611,256
p0026,orig,A,-0.0096,-4.7596,-7.6346,597,263
p0026,swap,A,-0.1823,-1.8073,-7.0573,597,253
p0027,orig,A,-0.1134,-2.4884,-3.8634,489,200
p0027,swap,B,-2.0231,-0.1481,-6.1481,489,200
p0028,orig,A,-0.1059,-2.3559,-5.4809,1301,595
p0028,swap,A,-0.0841,-2.5841,-5.5841,1301,593
p0029,orig,A,-0.0780,-2.7030,-5.0780,1176,537
p0029,swap,A,-0.0621,-2.9371,-5.3121,1176,525
p0030,orig,A,-0.0529,-3.0529,-5.8029,1270,578
p0030,swap,A,-0.0847,-2.5847,-5.4597,1270,568
p0031,orig,A,-0.5795,-0.8295,-6.9545,509,219
p0031,swap,A,-0.1335,-2.1335,-5.2585,509,207
