pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,A,-0.0790,-2.5790,-9.5790,1154,3471
p0002,swap,B,-6.5015,-0.0015,-11.7515,1154,2777
p0005,orig,B,-1.1427,-0.3927,-5.1427,428,1024
p0005,swap,B,-12.7500,-0.0000,-15.0000,428,981
p0007,orig,B,-22.3750,0.0000,-22.6250,763,1638
p0007,swap,A,-0.0000,-15.5000,-18.7500,763,1620
p0012,orig,B,-2.8120,-0.0620,-11.5620,678,1636
p0012,swap,A,-0.0790,-2.5790,-9.3290,678,1512
p0013,orig,B,-23.5000,0.0000,-23.2500,895,1957
p0013,swap,A,0.0000,-19.8750,-20.8750,895,1953
p0015,orig,A,-0.0086,-4.7586,-11.7586,881,1982
p0015,swap,B,-13.5000,-0.0000,-21.2500,881,2069
p0021,orig,A,0.0000,-21.3750,-19.0000,601,1326
p0021,swap,B,-22.0000,0.0000,-22.0000,601,1321
p0024,orig,B,-1.3133,-0.3133,-10.0633,645,1459
p0024,swap,A,-0.0041,-5.5041,-13.5041,645,1420
p0026,orig,A,0.0000,-19.1250,-19.6250,654,1451
p0026,swap,B,-18.7500,0.0000,-20.8750,654,1483
p0030,orig,B,-1.5025,-0.2525,-7.5025,1327,3385
p0030,swap,B,-10.2500,-0.0000,-14.5000,1327,4394
p0040,orig,A,-0.4756,-0.9756,-6.4756,533,4137
p0040,swap,A,-0.0071,-5.0071,-7.7571,533,1348
p0042,orig,B,-4.7593,-0.0093,-7.2593,525,1249
p0042,swap,A,-0.6958,-0.6958,-5.9458,525,1209
p0045,orig,A,0.0000,-19.0000,-18.7500,845,2034
p0045,swap,B,-13.7500,-0.0000,-18.7500,845,2021
p0049,orig,B,-10.7501,-0.0001,-10.0001,495,1241
p0049,swap,A,-0.0086,-12.5086,-4.7586,495,1050
p0050,orig,B,-0.9741,-0.4741,-10.2241,488,1193
p0050,swap,A,-0.0241,-7.0241,-3.7741,488,1094
p0059,orig,A,-0.0001,-10.0001,-12.0001,455,1160
p0059,swap,B,-11.0000,-0.0000,-16.2500,455,1007
p0060,orig,A,-0.0052,-5.2552,-15.0052,413,951
p0060,swap,B,-11.2500,-0.0000,-16.2500,413,948
p0061,orig,A,0.0000,-18.0000,-16.7500,446,944
p0061,swap,B,-21.5000,0.0000,-19.5000,446,908
p0064,orig,A,-0.0000,-13.7500,-12.2500,596,1356
p0064,swap,B,-18.2500,0.0000,-17.7500,596,1267
p0068,orig,A,-0.0093,-4.7593,-7.2593,588,1296
p0068,swap,B,-15.5000,-0.0000,-17.5000,588,1278
p0070,orig,A,-0.0000,-12.7500,-14.2500,1050,2354
p0070,swap,B,-19.7500,0.0000,-22.3750,1050,2306
p0076,orig,B,-18.0000,0.0000,-20.0000,666,1458
p0076,swap,A,0.0000,-19.5000,-16.7500,666,1444
p0092,orig,A,-0.0504,-6.3004,-3.0504,388,903
p0092,swap,C,-1.9119,-1.6619,-0.4119,388,837
p0099,orig,A,-0.0000,-12.5000,-19.3750,660,1424
p0099,swap,B,-25.3750,0.0000,-21.5000,660,1417
p0100,orig,B,-4.7696,-0.0196,-4.5196,767,1606
p0100,swap,B,-1.5025,-0.2525,-7.5025,767,1608
p0103,orig,C,-10.7509,-7.0009,-0.0009,311,764
p0103,swap,C,-7.2649,-4.2649,-0.0149,311,625
p0104,orig,B,-10.8260,-0.5760,-0.8260,297,647
p0104,swap,B,-3.0621,-0.0621,-4.3121,297,632
