pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,A,-0.1607,-1.9107,-7.6607,1076,3324
p0002,swap,B,-5.2552,-0.0052,-11.2552,1076,2448
p0005,orig,A,-0.3882,-1.1382,-6.6382,350,750
p0005,swap,B,-16.2500,-0.0000,-19.0000,350,697
p0007,orig,B,-22.0000,0.0000,-21.6250,685,1312
p0007,swap,A,0.0000,-20.2500,-20.0000,685,1267
p0012,orig,B,-4.5111,-0.0111,-12.7611,600,1205
p0012,swap,A,-0.0025,-6.0025,-12.5025,600,1163
p0013,orig,B,-23.1250,0.0000,-23.0000,817,1522
p0013,swap,A,0.0000,-22.0000,-20.6250,817,1573
p0015,orig,A,-0.0012,-6.7512,-12.5012,803,1552
p0015,swap,B,-11.5000,-0.0000,-19.5000,803,1514
p0021,orig,A,0.0000,-23.3750,-18.5000,523,1023
p0021,swap,B,-22.2500,0.0000,-20.2500,523,992
p0024,orig,B,-3.7733,-0.0233,-11.0233,567,1052
p0024,swap,A,-0.0001,-9.7501,-14.7501,567,1056
p0026,orig,A,0.0000,-20.3750,-19.0000,576,1064
p0026,swap,B,-20.6250,0.0000,-20.5000,576,1116
p0030,orig,B,-1.7018,-0.2018,-7.9518,1249,2814
p0030,swap,B,-8.7502,-0.0002,-14.5002,1249,2724
p0040,orig,B,-2.3524,-0.1024,-6.1024,455,946
p0040,swap,A,-0.1328,-2.1328,-5.1328,455,909
p0042,orig,B,-6.7513,-0.0013,-9.0013,447,846
p0042,swap,A,-0.2026,-1.7026,-6.7026,447,813
p0045,orig,A,0.0000,-20.2500,-18.2500,767,1447
p0045,swap,B,-18.0000,0.0000,-20.1250,767,1497
p0049,orig,B,-14.5003,-0.0003,-8.2503,417,871
p0049,swap,C,-1.5019,-11.7519,-0.2519,417,848
p0050,orig,B,-4.7586,-0.0086,-12.7586,410,831
p0050,swap,A,-0.1080,-4.8580,-2.3580,410,793
p0059,orig,B,-3.0509,-0.0509,-6.0509,377,714
p0059,swap,B,-12.5000,-0.0000,-15.0000,377,697
p0060,orig,A,-0.4741,-0.9741,-11.2241,335,667
p0060,swap,B,-15.2500,-0.0000,-16.5000,335,650
p0061,orig,A,-0.0000,-20.0000,-15.5000,368,695
p0061,swap,B,-22.3750,0.0000,-17.5000,368,687
p0064,orig,A,-0.0001,-13.0001,-9.7501,518,978
p0064,swap,B,-19.0000,0.0000,-16.7500,518,1023
p0068,orig,A,-0.0002,-10.0002,-8.7502,510,947
p0068,swap,B,-16.5000,-0.0000,-16.2500,510,902
p0070,orig,A,-0.0000,-11.7500,-14.2500,972,1852
p0070,swap,B,-17.7500,0.0000,-21.0000,972,1993
p0076,orig,B,-13.7500,-0.0000,-13.7500,588,1233
p0076,swap,A,-0.0000,-18.0000,-14.2500,588,1162
p0092,orig,B,-3.5306,-0.0306,-7.0306,310,596
p0092,swap,A,-0.0851,-5.0851,-2.5851,310,558
p0099,orig,A,0.0000,-18.2500,-20.1250,582,1122
p0099,swap,B,-24.3750,0.0000,-19.5000,582,1139
p0100,orig,B,-2.8124,-0.0624,-7.8124,689,1334
p0100,swap,A,-0.2525,-1.5025,-7.5025,689,1319
p0103,orig,C,-7.2617,-4.5117,-0.0117,233,469
p0103,swap,C,-5.2561,-7.0061,-0.0061,233,430
p0104,orig,C,-6.9112,-1.9112,-0.1612,219,448
p0104,swap,B,-4.2781,-0.0281,-4.2781,219,430
p0108,orig,B,-9.2501,-0.0001,-10.0001,730,1438
p0108,swap,A,-0.0620,-15.8120,-2.8120,730,1491
p0110,orig,B,-18.1250,-0.0000,-13.2500,462,930
p0110,swap,A,-0.0019,-13.7519,-6.2519,462,936
p0111,orig,B,-3.0550,-0.0550,-5.0550,730,1526
p0111,swap,B,-5.0079,-0.0079,-6.7579,730,1457
p0112,orig,A,-0.0000,-21.3750,-13.2500,317,598
p0112,swap,B,-23.7500,0.0000,-20.5000,317,535
p0113,orig,A,-0.0000,-18.2500,-11.7500,321,612
p0113,swap,B,-20.5000,0.0000,-20.0000,321,624
p0114,orig,B,-21.0000,0.0000,-20.2500,337,640
p0114,swap,A,-0.0000,-17.0000,-10.0000,337,629
p0117,orig,A,-0.0000,-16.5000,-21.7500,254,464
p0117,swap,B,-17.7500,0.0000,-24.1250,254,445
p0118,orig,A,-0.0000,-16.5000,-21.0000,268,516
p0118,swap,B,-15.0000,-0.0000,-22.5000,268,492
p0120,orig,A,-0.6932,-0.6932,-11.9432,234,421
p0120,swap,B,-7.5006,-0.0006,-21.0006,234,412
p0122,orig,B,-23.8750,0.0000,-20.3750,241,438
p0122,swap,A,-0.0015,-10.2515,-6.5015,241,429
p0123,orig,B,-6.5015,-0.0015,-11.5015,354,646
p0123,swap,B,-6.5015,-0.0015,-10.5015,354,638
p0124,orig,B,-9.0002,-0.0002,-10.5002,272,520
p0124,swap,A,-0.1659,-1.9159,-5.1659,272,494
p0125,orig,C,-0.9741,-12.7241,-0.4741,251,447
p0125,swap,B,-21.0000,0.0000,-17.0000,251,432
p0126,orig,A,-0.1270,-2.1270,-9.3770,295,544
p0126,swap,B,-8.5002,-0.0002,-10.7502,295,531
p0130,orig,B,-16.2532,-0.0032,-5.7532,367,634
p0130,swap,C,-5.7537,-7.5037,-0.0037,367,629
p0132,orig,A,-0.0000,-19.5000,-14.2500,387,715
p0132,swap,B,-19.2500,0.0000,-18.0000,387,716
p0133,orig,A,-0.0073,-5.0073,-7.5073,547,1012
p0133,swap,B,-5.2604,-0.0104,-5.2604,547,1010
p0137,orig,A,-0.0000,-19.3750,-12.5000,784,1459
p0137,swap,B,-20.6250,0.0000,-19.2500,784,1466
p0138,orig,C,-1.1371,-8.3871,-0.3871,397,798
p0138,swap,A,-0.0142,-10.5142,-4.2642,397,715
p0142,orig,A,-0.0004,-13.2504,-7.7504,1214,2438
p0142,swap,B,-18.0001,-0.0001,-9.7501,1214,2411
p0143,orig,B,-4.0182,-0.0182,-10.2682,583,2714
p0143,swap,A,-0.0002,-9.5002,-9.2502,583,1088
p0145,orig,A,-0.0009,-8.7509,-7.2509,1206,2572
p0145,swap,B,-15.7515,-0.0015,-6.5015,1206,2489
p0146,orig,B,-20.5000,0.0000,-19.0000,884,1563
p0146,swap,A,-0.0003,-12.5003,-8.2503,884,1557
p0150,orig,B,-19.3750,-0.0000,-14.2500,507,878
p0150,swap,A,-0.0232,-19.0232,-3.7732,507,853
p0152,orig,A,-0.5760,-9.5760,-0.8260,715,1278
p0152,swap,B,-4.0266,-0.0266,-4.7766,715,1298
p0153,orig,A,-0.0001,-23.1251,-9.0001,509,922
p0153,swap,B,-17.3750,-0.0000,-11.5000,509,863
p0156,orig,A,-0.2022,-7.2022,-1.7022,234,424
p0156,swap,B,-21.0000,-0.0000,-10.5000,234,413
p0158,orig,A,-0.6936,-7.6936,-0.6936,568,975
p0158,swap,B,-3.4105,-0.1605,-2.1605,568,971
p0161,orig,B,-18.2500,0.0000,-17.5000,333,628
p0161,swap,A,-0.1002,-10.1002,-2.3502,333,609
p0168,orig,B,-5.9129,-0.1629,-1.9129,349,643
p0168,swap,B,-18.7500,0.0000,-18.7500,349,627
p0170,orig,A,-0.0000,-18.3750,-13.5000,554,971
p0170,swap,B,-17.5000,-0.0000,-14.2500,554,970
p0171,orig,A,-0.0037,-7.5037,-5.7537,505,944
p0171,swap,A,-0.0002,-10.5002,-8.7502,505,906
p0174,orig,A,-0.0147,-7.5147,-4.2647,512,888
p0174,swap,A,-0.0445,-5.0445,-3.2945,512,880
p0178,orig,A,-0.0113,-4.5113,-8.2613,421,764
p0178,swap,B,-2.1272,-0.1272,-8.1272,421,764
p0182,orig,A,-0.3870,-1.1370,-9.3870,773,1433
p0182,swap,A,-0.0001,-9.2501,-14.2501,773,1418
p0186,orig,A,-0.0382,-3.2882,-8.7882,613,1150
p0186,swap,A,-0.0001,-10.2501,-11.0001,613,1228
p0187,orig,B,-2.3516,-0.1016,-6.6016,629,1303
p0187,swap,A,-0.0043,-5.5043,-8.2543,629,1276
p0188,orig,A,-0.0001,-9.5001,-9.5001,711,1583
p0188,swap,B,-1.5022,-0.2522,-8.2522,711,1537
p0189,orig,B,-18.7500,0.0000,-20.5000,887,6359
p0189,swap,A,-0.0000,-14.7500,-15.0000,887,1799
p0190,orig,B,-11.5000,-0.0000,-18.7500,862,1789
p0190,swap,A,-0.0000,-11.2500,-15.2500,862,1707
p0191,orig,A,0.0000,-21.7500,-18.2500,1381,2966
p0191,swap,B,-22.2500,0.0000,-22.0000,1381,2797
p0192,orig,B,-8.0003,-0.0003,-16.2503,956,5116
p0192,swap,A,-0.0000,-11.2500,-12.7500,956,3670
p0193,orig,A,0.0000,-20.8750,-17.5000,1475,6720
p0193,swap,B,-23.0000,0.0000,-21.0000,1475,5672
p0194,orig,A,-0.3236,-4.5736,-1.3236,689,3858
