pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,A,-0.5328,-1.4078,-1.7828,1076,558
p0002,swap,A,-0.4120,-1.6620,-1.9120,1076,181
p0005,orig,A,-0.1937,-2.5687,-2.3187,350,82
p0005,swap,A,-0.1816,-2.4316,-2.5566,350,54
p0007,orig,A,-0.2116,-2.0866,-2.7116,685,130
p0007,swap,A,-0.2573,-2.0073,-2.3823,685,104
p0012,orig,A,-0.1834,-2.5584,-2.4334,600,109
p0012,swap,A,-0.1942,-2.4442,-2.4442,600,92
p0013,orig,A,-0.2310,-2.2310,-2.3560,817,159
p0013,swap,A,-0.3926,-1.8926,-1.7676,817,131
p0015,orig,A,-0.2465,-1.9965,-2.4965,803,148
p0015,swap,A,-0.3419,-1.7169,-2.2169,803,128
p0021,orig,A,-0.4382,-1.9382,-1.5632,523,104
p0021,swap,A,-0.9133,-1.6633,-0.9133,523,77
p0024,orig,A,-0.4869,-2.1119,-1.3619,567,105
p0024,swap,A,-0.4835,-2.1085,-1.3585,567,83
p0026,orig,A,-0.5678,-2.0678,-1.1928,576,101
p0026,swap,A,-0.7476,-1.8726,-0.9976,576,82
p0030,orig,A,-0.4518,-1.3268,-2.3268,1249,311
p0030,swap,A,-0.3169,-1.6919,-2.4419,1249,224
p0040,orig,A,-0.3432,-1.4682,-2.8432,455,85
p0040,swap,A,-0.3025,-1.4275,-3.9275,455,69
p0042,orig,A,-0.4312,-1.3062,-2.5562,447,87
p0042,swap,A,-0.3517,-1.4767,-2.7267,447,66
p0045,orig,A,-0.3325,-1.9575,-1.9575,767,136
p0045,swap,A,-0.3066,-1.8066,-2.3066,767,119
p0049,orig,A,-0.4966,-1.3716,-1.9966,417,77
p0049,swap,A,-0.4402,-1.5652,-1.9402,417,62
p0050,orig,A,-0.5068,-1.5068,-1.7568,410,81
p0050,swap,A,-0.5593,-1.4343,-1.6843,410,62
p0059,orig,A,-0.3793,-1.5043,-2.3793,377,73
p0059,swap,A,-0.3502,-1.4752,-2.7253,377,57
p0060,orig,A,-0.3215,-1.8215,-2.1965,335,68
p0060,swap,A,-0.3991,-1.3991,-2.5241,335,54
p0061,orig,A,-0.4212,-1.5462,-2.0462,368,80
p0061,swap,A,-0.3423,-1.4673,-2.8423,368,56
p0064,orig,A,-0.3976,-1.3976,-2.5226,518,92
p0064,swap,A,-0.4521,-1.3271,-2.3271,518,77
p0068,orig,A,-0.6111,-1.3611,-1.6111,510,92
p0068,swap,A,-0.5809,-1.4559,-1.5809,510,73
p0070,orig,A,-0.5132,-1.3882,-1.8882,972,183
p0070,swap,A,-0.3948,-1.6448,-2.0198,972,160
p0076,orig,A,-0.5556,-1.4306,-1.6806,588,103
p0076,swap,A,-0.8402,-1.0902,-1.4652,588,90
p0092,orig,A,-0.6384,-1.5134,-1.3884,310,63
p0092,swap,A,-0.2901,-2.7901,-1.6651,310,48
p0099,orig,C,-0.9834,-1.6084,-0.8584,582,106
p0099,swap,A,-0.9035,-1.2785,-1.1535,582,89
p0100,orig,A,-0.7651,-1.7651,-1.0151,689,138
p0100,swap,C,-1.1218,-1.9968,-0.6218,689,107
p0103,orig,A,-0.3981,-2.0231,-1.6481,233,59
p0103,swap,A,-0.3199,-1.9449,-2.0699,233,43
p0104,orig,A,-0.3696,-2.2446,-1.6196,219,64
p0104,swap,A,-0.3408,-2.0908,-1.8408,219,47
p0108,orig,A,-0.5133,-1.2633,-2.1383,730,140
p0108,swap,A,-0.3911,-1.5161,-2.2661,730,114
p0110,orig,A,-0.4211,-1.5461,-2.0461,462,83
p0110,swap,A,-0.7667,-1.0167,-1.7667,462,69
p0111,orig,A,-0.4516,-1.3266,-2.3266,730,120
p0111,swap,A,-0.5371,-1.1621,-2.2871,730,116
p0112,orig,A,-0.4749,-1.5999,-1.8499,317,70
p0112,swap,A,-0.6055,-1.7305,-1.3555,317,49
p0113,orig,A,-0.5190,-1.6440,-1.6440,321,68
p0113,swap,A,-0.8239,-1.4489,-1.1989,321,52
p0114,orig,A,-0.6201,-1.4951,-1.4951,337,73
