pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0002,orig,A,-0.5795,-1.5795,-1.4545,1154,280
p0002,swap,A,-0.3945,-2.0195,-1.6445,1154,200
p0005,orig,A,-0.2654,-2.5154,-1.8904,428,85
p0005,swap,A,-0.2652,-2.5152,-1.8902,428,66
p0007,orig,A,-0.2833,-2.1583,-2.0333,763,129
p0007,swap,A,-0.3155,-2.0655,-1.9405,763,116
p0012,orig,A,-0.3235,-2.1985,-1.8235,678,114
p0012,swap,A,-0.3828,-2.1328,-1.6328,678,101
p0013,orig,A,-0.3550,-1.9800,-1.8550,895,157
p0013,swap,A,-0.5386,-1.7886,-1.4136,895,143
p0015,orig,A,-0.3325,-1.9575,-1.9575,881,153
p0015,swap,A,-0.3515,-1.8515,-1.9765,881,141
p0021,orig,A,-0.6447,-1.6447,-1.2697,601,102
p0021,swap,C,-1.0421,-1.6671,-0.7921,601,90
p0024,orig,A,-0.7547,-1.8797,-1.0047,645,109
p0024,swap,A,-0.7290,-1.9790,-0.9790,645,97
p0026,orig,A,-0.7121,-2.0871,-0.9621,654,120
p0026,swap,A,-0.8884,-1.7634,-0.8884,654,97
p0030,orig,A,-0.4374,-1.5624,-1.9374,1327,252
p0030,swap,A,-0.3412,-1.7162,-2.2162,1327,246
p0040,orig,A,-0.4380,-1.5630,-1.9380,533,113
p0040,swap,A,-0.2904,-1.5404,-3.2904,533,93
p0042,orig,A,-0.4660,-1.4660,-1.9660,525,106
p0042,swap,A,-0.4212,-1.5462,-2.0462,525,91
p0045,orig,A,-0.4835,-1.8585,-1.4835,845,177
p0045,swap,A,-0.3509,-1.9759,-1.8509,845,159
p0049,orig,A,-0.5054,-1.7554,-1.5054,495,104
p0049,swap,A,-0.5370,-1.7870,-1.4120,495,85
p0050,orig,A,-0.6483,-1.6483,-1.2733,488,103
p0050,swap,A,-0.5914,-1.7164,-1.3414,488,88
p0059,orig,A,-0.5337,-1.4087,-1.7837,455,99
p0059,swap,A,-0.4054,-1.5304,-2.1554,455,82
p0060,orig,A,-0.3905,-1.7655,-1.8905,413,93
p0060,swap,A,-0.4058,-1.5308,-2.1558,413,75
p0061,orig,A,-0.4785,-1.6035,-1.7285,446,94
p0061,swap,A,-0.4208,-1.4208,-2.2958,446,81
p0064,orig,A,-0.5458,-1.2958,-1.9208,596,122
p0064,swap,A,-0.5655,-1.3155,-1.8155,596,106
p0068,orig,A,-0.8709,-1.3709,-1.1209,588,119
p0068,swap,C,-1.0716,-1.3216,-0.9466,588,106
p0070,orig,A,-0.5809,-1.5809,-1.4559,1050,236
p0070,swap,A,-0.4128,-1.9128,-1.6628,1050,201
p0076,orig,A,-0.5803,-1.4553,-1.5803,666,137
p0076,swap,A,-0.7996,-1.1746,-1.4246,666,119
p0092,orig,A,-0.5878,-1.7128,-1.3378,388,97
p0092,swap,A,-0.3499,-2.7249,-1.4749,388,74
p0099,orig,A,-0.8356,-1.7106,-0.9606,660,137
p0099,swap,A,-0.9454,-1.3204,-1.0704,660,118
p0100,orig,C,-0.9015,-2.0265,-0.7765,767,156
p0100,swap,C,-1.2808,-2.0308,-0.5308,767,142
p0103,orig,A,-0.7043,-1.8293,-1.0793,311,84
p0103,swap,A,-0.4604,-1.8354,-1.5854,311,57
p0104,orig,A,-0.5331,-2.0331,-1.2831,297,77
p0104,swap,A,-0.5382,-1.7882,-1.4132,297,58
p0108,orig,A,-0.6218,-1.2468,-1.7468,808,174
p0108,swap,A,-0.4773,-1.6023,-1.7273,808,151
p0110,orig,A,-0.4783,-1.7283,-1.6033,540,114
p0110,swap,A,-0.6822,-1.1822,-1.6822,540,96
p0111,orig,A,-0.5131,-1.3881,-1.8881,808,152
p0111,swap,A,-0.5134,-1.2634,-2.1384,808,153
p0112,orig,A,-0.4859,-1.6109,-1.7359,395,88
p0112,swap,A,-0.6855,-1.5605,-1.3105,395,72
p0113,orig,A,-0.4614,-1.7114,-1.7114,399,91
p0113,swap,A,-0.6843,-1.5593,-1.3093,399,72
p0114,orig,A,-0.6734,-1.4234,-1.4234,415,89
p0114,swap,A,-0.5621,-1.4371,-1.6871,415,79
p0117,orig,A,-0.4888,-1.8638,-1.4888,332,79
p0117,swap,A,-0.5390,-1.7890,-1.4140,332,64
p0118,orig,A,-0.5958,-1.7208,-1.3458,346,81
p0118,swap,A,-0.5372,-1.7872,-1.4122,346,63
p0120,orig,A,-0.4717,-1.9717,-1.4717,312,76
p0120,swap,A,-0.5550,-1.9300,-1.3050,312,62
p0122,orig,A,-0.3084,-1.6834,-2.5584,319,75
p0122,swap,A,-0.3088,-1.6838,-2.5588,319,60
p0123,orig,A,-0.4220,-1.4220,-2.2970,432,144
p0123,swap,A,-0.3804,-1.5054,-2.3804,432,78
p0124,orig,A,-0.3667,-1.6167,-2.2417,350,81
p0124,swap,A,-0.3371,-1.8371,-2.0871,350,64
p0125,orig,A,-0.2995,-1.6745,-2.6745,329,78
p0125,swap,A,-0.3187,-1.6937,-2.4437,329,65
p0126,orig,A,-0.3801,-1.5051,-2.3801,373,83
p0126,swap,A,-0.3182,-1.6932,-2.4432,373,67
p0130,orig,A,-0.4597,-1.8347,-1.5847,445,101
p0130,swap,A,-0.6031,-1.8531,-1.2281,445,79
p0132,orig,A,-0.6385,-1.8885,-1.1385,465,110
p0132,swap,A,-0.5521,-1.5521,-1.5521,465,86
p0133,orig,A,-0.9474,-1.0724,-1.3224,625,124
p0133,swap,A,-0.6038,-1.2288,-1.8538,625,112
p0137,orig,C,-1.2588,-1.2588,-0.8838,862,175
p0137,swap,C,-1.4102,-1.2852,-0.7852,862,162
p0138,orig,A,-0.6161,-1.3661,-1.6161,475,99
p0138,swap,A,-0.6413,-1.5163,-1.3913,475,84
p0142,orig,A,-0.6724,-1.2974,-1.5474,1292,283
p0142,swap,B,-0.8848,-0.7598,-2.1348,1292,260
p0143,orig,A,-0.8304,-2.0804,-0.8304,661,138
p0143,swap,A,-0.6819,-1.9319,-1.0569,661,118
p0145,orig,A,-0.6723,-1.2973,-1.5473,1284,277
p0145,swap,A,-0.8451,-0.8451,-1.9701,1284,263
p0146,orig,A,-0.7469,-0.9969,-1.8719,962,203
p0146,swap,A,-1.0601,-1.0601,-1.1851,962,185
p0150,orig,A,-0.7008,-1.0758,-1.8258,585,125
p0150,swap,A,-0.6402,-1.1402,-1.8902,585,106
p0152,orig,A,-0.6239,-1.2489,-1.7489,793,169
p0152,swap,A,-0.4795,-1.3545,-2.1045,793,151
p0153,orig,A,-0.6409,-1.1409,-1.8909,587,131
